config = (n = 2, d = (:one_d_for_all, 40), GN = 200, time_interval = [0.0, 1.0], p_true = [[1.0, 1.0]], ic = [100.0, 100.0], num_points = 100, sample_range = 0.2, distance = Main.DynamicalSystems.log_L2_norm, model_func = Main.DynamicalSystems.define_lotka_volterra_2D_model_v3, basis = :chebyshev, precision = RationalPrecision, my_eps = 0.02, fine_step = 0.002, coarse_step = 0.02, plot_range = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.002:0.22, -0.22:0.002:0.22], plot_range_coarse = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.02:0.22, -0.22:0.02:0.22], p_center = [1.05, 0.95])


Condition number of the Vandermonde system: 4.00000000000004
L2 norm (error of approximation): 0.5351622741250043
Polynomial system:
   Number of sols: 1521
   Bezout bound: [39, 39] which is 1521
Critical points found:
447×3 DataFrame
 Row │ x1        x2        z
     │ Float64   Float64   Float64
─────┼────────────────────────────────
 439 │ 1.0866    1.10339    1.87163
 440 │ 0.8905    1.10518    1.9154
 441 │ 0.853207  1.10446    1.9103
 442 │ 0.852027  1.10437    1.90931
 443 │ 0.888559  1.12227    2.1138
 444 │ 0.858512  1.10512    1.91807
 445 │ 1.07006   1.10501    1.89443
 446 │ 1.12603   1.13726    2.24568
 447 │ 1.24997   0.974533   0.109102
Number of critical points: 447
────────────────────────────────────────────────────────────────────────────────────────────
                                                   Time                    Allocations      
                                          ───────────────────────   ────────────────────────
            Tot / % measured:                   151s /  60.4%           15.3GiB /  50.4%    

Section                           ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────────────
solve_polynomial_system                1    78.3s   86.1%   78.3s   4.64GiB   60.2%  4.64GiB
Constructor                            1    12.6s   13.9%   12.6s   3.07GiB   39.8%  3.07GiB
  MainGenerate                         1    12.2s   13.4%   12.2s   3.07GiB   39.7%  3.07GiB
    evaluation                         1    5.92s    6.5%   5.92s   2.47GiB   32.0%  2.47GiB
    linear_solve_vandermonde           1    1.64s    1.8%   1.64s    159MiB    2.0%   159MiB
    lambda_vandermonde_original        1    1.55s    1.7%   1.55s    266MiB    3.4%   266MiB
    norm_computation                   1    1.10s    1.2%   1.10s   64.1MiB    0.8%  64.1MiB
    generate_grid                      1    216ms    0.2%   216ms   31.4MiB    0.4%  31.4MiB
test_input                             1   1.24μs    0.0%  1.24μs      240B    0.0%     240B
────────────────────────────────────────────────────────────────────────────────────────────
