config = (n = 2, d = (:one_d_for_all, 40), GN = 200, time_interval = [0.0, 1.0], p_true = [[1.0, 1.0]], ic = [100.0, 100.0], num_points = 100, sample_range = 0.2, distance = Main.DynamicalSystems.log_L2_norm, model_func = Main.DynamicalSystems.define_lotka_volterra_2D_model_v3, basis = :chebyshev, precision = RationalPrecision, my_eps = 0.02, fine_step = 0.002, coarse_step = 0.02, plot_range = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.002:0.22, -0.22:0.002:0.22], plot_range_coarse = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.02:0.22, -0.22:0.02:0.22], p_center = [1.05, 0.95])


Condition number of the Vandermonde system: 4.00000000000004
L2 norm (error of approximation): 0.5351622741250043
Polynomial system:
   Number of sols: 1521
   Bezout bound: [39, 39] which is 1521
Critical points found:
451×3 DataFrame
 Row │ x1        x2        z
     │ Float64   Float64   Float64
─────┼────────────────────────────────
 279 │ 0.876535  0.802729   3.14016
 280 │ 0.863518  0.802891   3.13787
 281 │ 0.868329  0.802797   3.13901
 282 │ 0.885939  0.80274    3.1407
 283 │ 0.93913   0.803484   3.13796
 284 │ 0.852065  0.845797   2.72836
 285 │ 1.07222   0.805194   3.13237
 286 │ 1.13822   0.805978   3.13015
 287 │ 1.23138   0.806687   3.13044
 288 │ 1.24945   0.829821   2.9216
 289 │ 1.23955   0.829831   2.92074
 290 │ 1.22903   0.829835   2.91989
 291 │ 1.15302   0.829241   2.91976
 292 │ 1.13595   0.829189   2.91895
 293 │ 0.990445  0.826348   2.93498
 294 │ 0.967527  0.825807   2.93839
 295 │ 0.913044  0.824753   2.94425
 296 │ 0.893784  0.824636   2.9439
 297 │ 0.876703  0.824745   2.94157
 298 │ 0.863507  0.825075   2.93743
 299 │ 0.851243  0.826461   2.92326
 300 │ 0.868636  0.824912   2.93937
 301 │ 0.885395  0.824663   2.94301
 302 │ 0.908931  0.824712   2.94432
 303 │ 0.938366  0.82516    2.94231
 304 │ 0.975161  0.82599    2.93723
 305 │ 1.10685   0.828669   2.9217
 306 │ 1.14846   0.829224   2.91957
 307 │ 1.21631   0.829669   2.92051
 308 │ 1.23452   0.829832   2.92034
 309 │ 1.24953   0.855613   2.65662
 310 │ 1.21184   0.855624   2.65315
 311 │ 1.13749   0.854912   2.65442
 312 │ 1.10109   0.855033   2.64984
 313 │ 1.01781   0.851998   2.67588
 314 │ 0.850433  1.05396    1.02526
 315 │ 0.993566  0.851267   2.68173
 316 │ 0.970448  0.850603   2.68694
 317 │ 0.913633  0.84964    2.69243
 318 │ 0.893677  0.849765   2.68934
 319 │ 0.876585  0.850123   2.68395
 320 │ 0.863526  0.850734   2.67615
 321 │ 0.868698  0.850442   2.67979
 322 │ 0.885143  0.849917   2.68694
 323 │ 0.907543  0.849655   2.69174
 324 │ 0.93793   0.849852   2.69225
 325 │ 0.862327  0.769312   3.40794
 326 │ 0.972257  0.850654   2.68653
 327 │ 1.01429   0.851895   2.6767
 328 │ 1.07827   0.854294   2.65598
 329 │ 1.12213   0.854996   2.65212
 330 │ 1.19745   0.855438   2.65393
 331 │ 1.22321   0.855628   2.65412
 332 │ 1.24965   0.752367   3.55403
 333 │ 1.22751   0.752402   3.55254
 334 │ 1.24699   0.752402   3.55363
 335 │ 1.23524   0.75244    3.55271
 336 │ 1.24649   0.780213   3.3478
 337 │ 0.857653  0.851465   2.66763
 338 │ 0.987832  0.75228    3.54
 339 │ 0.976663  0.752278   3.53938
 340 │ 1.24962   0.883643   2.31713
 341 │ 1.19112   0.8835     2.31273
 342 │ 1.09855   0.88256    2.31531
 343 │ 1.07624   0.882359   2.31559
 344 │ 1.02085   0.87988    2.34254
 345 │ 0.994211  0.878838   2.35339
 346 │ 0.968655  0.878032   2.36122
 347 │ 0.913697  0.877486   2.36255
 348 │ 0.893513  0.877824   2.35602
 349 │ 0.86879   0.879171   2.33572
 350 │ 0.856019  0.879357   2.33189
 351 │ 0.876593  0.878457   2.34595
 352 │ 0.855128  0.879234   2.33342
 353 │ 0.884728  0.87811    2.35136
 354 │ 0.906389  0.877586   2.36049
 355 │ 0.937769  0.877462   2.36539
 356 │ 0.853393  0.784123   3.29249
 357 │ 0.975084  0.878226   2.35937
 358 │ 1.01148   0.879508   2.34644
 359 │ 1.04419   0.881269   2.32666
 360 │ 1.08466   0.882415   2.31576
 361 │ 1.17442   0.883266   2.31405
 362 │ 1.24971   0.913271   1.86751
 363 │ 1.18911   0.912839   1.86648
 364 │ 1.15761   0.91283    1.86219
 365 │ 1.09724   0.91133    1.87975
 366 │ 1.07344   0.911058   1.8811
 367 │ 0.993194  0.908836   1.908
 368 │ 0.966697  0.90793    1.91971
 369 │ 0.91395   0.907646   1.91728
 370 │ 0.884278  0.908849   1.89274
 371 │ 0.865926  0.908837   1.89039
 372 │ 0.857054  0.907803   1.90682
 373 │ 0.854132  0.907368   1.91379
 374 │ 0.89376   0.908178   1.90549
 375 │ 0.864185  0.908632   1.89367
 376 │ 0.904923  0.907843   1.91272
 377 │ 0.937491  0.907519   1.92265
 378 │ 0.978259  0.90829    1.91521
 379 │ 1.01118   0.910004   1.89055
 380 │ 1.08636   0.911177   1.88085
 381 │ 1.14881   0.912582   1.86527
 382 │ 1.17972   0.912863   1.86474
 383 │ 0.96489   0.939492   1.27574
 384 │ 0.938627  0.939048   1.28151
 385 │ 0.903602  0.939854   1.25403
 386 │ 0.867257  0.938351   1.28443
 387 │ 0.862507  0.937615   1.30173
